Mês;FatorCorrecao
2008/Fev;2,024713885
2008/Mar;2,014841164
2008/Abr;2,005216126
2008/Mai;1,994247764
2008/Jun;1,978616692
2008/Jul;1,964082481
2008/Ago;1,953727724
2008/Set;1,948272561
2008/Out;1,943220189
2008/Nov;1,934514872
2008/Dez;1,9275756
2009/Jan;1,922193458
2009/Fev;1,913011005
2009/Mar;1,902546997
2009/Abr;1,898749498
2009/Mai;1,889679038
2009/Jun;1,880839095
2009/Jul;1,874092362
2009/Ago;1,869605309
2009/Set;1,866805102
2009/Out;1,862335497
2009/Nov;1,857135517
2009/Dez;1,849552352
2010/Jan;1,842734236
2010/Fev;1,829016611
2010/Mar;1,814860698
2010/Abr;1,805472242
2010/Mai;1,795239378
2010/Jun;1,7875529
2010/Jul;1,7875529
2010/Ago;1,787374163
2010/Set;1,786659499
2010/Out;1,778655549
2010/Nov;1,765414937
2010/Dez;1,750882611
2011/Jan;1,739921108
2011/Fev;1,72559864
2011/Mar;1,711903412
2011/Abr;1,698485378
2011/Mai;1,685506974
2011/Jun;1,67762215
2011/Jul;1,675109486
2011/Ago;1,672433592
2011/Set;1,666268399
2011/Out;1,657483735
2011/Nov;1,650387071
2011/Dez;1,641849454
2012/Jan;1,633681048
2012/Fev;1,624583381
2012/Mar;1,617305507
2012/Abr;1,613916282
2012/Mai;1,603652904
2012/Jun;1,597900462
2012/Jul;1,596623164
2012/Ago;1,589787079
2012/Set;1,583295567
2012/Out;1,574321932
2012/Nov;1,565087914
2012/Dez;1,555753393
2013/Jan;1,543559275
2013/Fev;1,530397854
2013/Mar;1,521270232
2013/Abr;1,51415371
2013/Mai;1,505871417
2013/Jun;1,500320232
2013/Jul;1,496429515
2013/Ago;1,495980721
2013/Set;1,492398964
2013/Out;1,487193785
2013/Nov;1,478764826
2013/Dez;1,470822385
2014/Jan;1,457414175
2014/Fev;1,449442242
2014/Mar;1,439509626
2014/Abr;1,426386867
2014/Mai;1,416893679
2014/Jun;1,410405812
2014/Jul;1,404786666
2014/Ago;1,404646201
2014/Set;1,401143343
2014/Out;1,393202091
2014/Nov;1,387375115
2014/Dez;1,380335405
2015/Jan;1,369652118
2015/Fev;1,35287645
2015/Mar;1,336570293
2015/Abr;1,319157415
2015/Mai;1,309857427
2015/Jun;1,300235683
2015/Jul;1,290044333
2015/Ago;1,282095342
2015/Set;1,279280924
2015/Out;1,27240991
2015/Nov;1,26206101
2015/Dez;1,249441649
2016/Jan;1,237561063
2016/Fev;1,22204114
2016/Mar;1,211140873
2016/Abr;1,205955265
2016/Mai;1,198643539
2016/Jun;1,189366481
2016/Jul;1,185218217
2016/Ago;1,179086965
2016/Set;1,173921709
2016/Out;1,172983323
2016/Nov;1,169941475
2016/Dez;1,167839364
2017/Jan;1,164346325
2017/Fev;1,159938558
2017/Mar;1,156123351
2017/Abr;1,153240251
2017/Mai;1,151627972
2017/Jun;1,148068958
2017/Jul;1,150715604
2017/Ago;1,147960498
2017/Set;1,14578351
2017/Out;1,143953185
2017/Nov;1,139168676
2017/Dez;1,13598791
2018/Jan;1,13101146
2018/Fev;1,127741011
2018/Mar;1,124143751
2018/Abr;1,123132931
2018/Mai;1,120667463
2018/Jun;1,116202652
2018/Jul;1,102313502
2018/Ago;1,098687832
2018/Set;1,099677542
2018/Out;1,094424305
2018/Nov;1,089521459
2018/Dez;1,091814269
2019/Jan;1,090179
2019/Fev;1,086701555
2019/Mar;1,082048746
2019/Abr;1,073993792
2019/Mai;1,067906724
2019/Jun;1,066520247
2019/Jul;1,066413606
2019/Ago;1,064391263
2019/Set;1,063221719
2019/Out;1,063647178
2019/Nov;1,062584593
2019/Dez;1,057192909
2020/Jan;1,045173415
2020/Fev;1,04298315
2020/Mar;1,040382195
2020/Abr;1,039654437
2020/Mai;1,042887388
2020/Jun;1,046865477
2020/Jul;1,044150685
2020/Ago;1,040405226
2020/Set;1,037914232
2020/Out;1,031313823
2020/Nov;1,02252015
2020/Dez;1,0135
